"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","James Harden",10600,"Cha@Hou 08:00PM ET",51.027,"Hou"
"PG","Russell Westbrook",10400,"OKC@LAC 10:30PM ET",53.093,"OKC"
"SF","Kevin Durant",10100,"OKC@LAC 10:30PM ET",47.357,"OKC"
"PF","DeMarcus Cousins",10000,"Sac@Was 07:00PM ET",47.431,"Sac"
"PG","John Wall",9500,"Sac@Was 07:00PM ET",43.470,"Was"
"SF","Paul George",9200,"Ind@SA 08:30PM ET",45.625,"Ind"
"PF","Blake Griffin",8900,"OKC@LAC 10:30PM ET",44.116,"LAC"
"PG","Damian Lillard",8800,"Por@Atl 08:00PM ET",42.393,"Por"
"PG","Rajon Rondo",8600,"Sac@Was 07:00PM ET",41.550,"Sac"
"SF","Kawhi Leonard",8500,"Ind@SA 08:30PM ET",40.750,"SA"
"SF","Carmelo Anthony",8400,"Orl@NY 07:30PM ET",37.696,"NY"
"SG","Eric Bledsoe",8400,"Pho@Uta 09:00PM ET",41.954,"Pho"
"PG","Chris Paul",8100,"OKC@LAC 10:30PM ET",38.228,"LAC"
"PF","Paul Millsap",8000,"Por@Atl 08:00PM ET",40.321,"Atl"
"PF","Derrick Favors",7800,"Pho@Uta 09:00PM ET",35.083,"Uta"
"PG","Isaiah Thomas",7700,"Min@Bos 07:30PM ET",37.259,"Bos"
"C","Pau Gasol",7600,"Bkn@Chi 08:00PM ET",39.375,"Chi"
"SF","Nicolas Batum",7500,"Cha@Hou 08:00PM ET",35.050,"Cha"
"SG","Jimmy Butler",7400,"Bkn@Chi 08:00PM ET",37.720,"Chi"
"PG","Kemba Walker",7400,"Cha@Hou 08:00PM ET",35.173,"Cha"
"PF","Kristaps Porzingis",7400,"Orl@NY 07:30PM ET",30.411,"NY"
"PG","Ricky Rubio",7300,"Min@Bos 07:30PM ET",32.888,"Min"
"PG","Brandon Knight",7300,"Pho@Uta 09:00PM ET",36.446,"Pho"
"C","Dwight Howard",7200,"Cha@Hou 08:00PM ET",35.239,"Hou"
"SF","Gordon Hayward",7200,"Pho@Uta 09:00PM ET",31.760,"Uta"
"SG","Bradley Beal",7200,"Sac@Was 07:00PM ET",33.029,"Was"
"C","Nikola Vucevic",7100,"Orl@NY 07:30PM ET",34.130,"Orl"
"SF","Rudy Gay",7000,"Sac@Was 07:00PM ET",31.280,"Sac"
"PF","Thaddeus Young",7000,"Bkn@Chi 08:00PM ET",32.837,"Bkn"
"SG","Andrew Wiggins",7000,"Min@Bos 07:30PM ET",30.540,"Min"
"C","DeAndre Jordan",6900,"OKC@LAC 10:30PM ET",35.366,"LAC"
"SG","C.J. McCollum",6900,"Por@Atl 08:00PM ET",33.446,"Por"
"C","Karl-Anthony Towns",6900,"Min@Bos 07:30PM ET",33.298,"Min"
"PF","LaMarcus Aldridge",6800,"Ind@SA 08:30PM ET",31.587,"SA"
"C","Brook Lopez",6700,"Bkn@Chi 08:00PM ET",35.567,"Bkn"
"PG","Jarrett Jack",6600,"Bkn@Chi 08:00PM ET",31.930,"Bkn"
"C","Al Horford",6600,"Por@Atl 08:00PM ET",33.429,"Atl"
"SF","Tobias Harris",6500,"Orl@NY 07:30PM ET",30.212,"Orl"
"C","Marcin Gortat",6400,"Sac@Was 07:00PM ET",29.739,"Was"
"PF","Serge Ibaka",6400,"OKC@LAC 10:30PM ET",28.796,"OKC"
"PG","Elfrid Payton",6300,"Orl@NY 07:30PM ET",29.510,"Orl"
"C","Al Jefferson",6200,"Cha@Hou 08:00PM ET",27.941,"Cha"
"C","Rudy Gobert",6200,"Pho@Uta 09:00PM ET",31.536,"Uta"
"PG","Jeff Teague",6100,"Por@Atl 08:00PM ET",29.800,"Atl"
"SG","Victor Oladipo",6100,"Orl@NY 07:30PM ET",30.406,"Orl"
"SF","Trevor Ariza",6000,"Cha@Hou 08:00PM ET",26.287,"Hou"
"SF","Omri Casspi",6000,"Sac@Was 07:00PM ET",24.010,"Sac"
"PG","Derrick Rose",5900,"Bkn@Chi 08:00PM ET",26.848,"Chi"
"PF","Jon Leuer",5800,"Pho@Uta 09:00PM ET",20.357,"Pho"
"C","Jared Sullinger",5800,"Min@Bos 07:30PM ET",28.954,"Bos"
"SF","Otto Porter",5800,"Sac@Was 07:00PM ET",25.344,"Was"
"PF","Marvin Williams",5700,"Cha@Hou 08:00PM ET",25.240,"Cha"
"SF","Kent Bazemore",5700,"Por@Atl 08:00PM ET",25.337,"Atl"
"C","Tim Duncan",5600,"Ind@SA 08:30PM ET",27.480,"SA"
"SG","Monta Ellis",5600,"Ind@SA 08:30PM ET",26.481,"Ind"
"SF","Jae Crowder",5600,"Min@Bos 07:30PM ET",26.463,"Bos"
"PG","Zach LaVine",5600,"Min@Bos 07:30PM ET",25.087,"Min"
"C","Clint Capela",5600,"Cha@Hou 08:00PM ET",22.491,"Hou"
