Position,Name,teamAbbrev
PG,Stephen Curry,GS
PF,Anthony Davis,NO
PG,Russell Westbrook,OKC
SF,Kevin Durant,OKC
SF,Paul George,Ind
PG,John Wall,Was
PG,Damian Lillard,Por
C,Andre Drummond,Det
PF,Blake Griffin,LAC
SF,Kawhi Leonard,SA
PF,Draymond Green,GS
SG,Eric Bledsoe,Pho
SF,Carmelo Anthony,NY
PF,Paul Millsap,Atl
PG,Chris Paul,LAC
C,Pau Gasol,Chi
PG,Isaiah Thomas,Bos
SF,Nicolas Batum,Cha
PF,Derrick Favors,Uta
SG,Jimmy Butler,Chi
PG,Reggie Jackson,Det
PG,Brandon Knight,Pho
C,Marc Gasol,Mem
SG,Tyreke Evans,NO
SF,Gordon Hayward,Uta
PF,Kristaps Porzingis,NY
PF,Chris Bosh,Mia
C,Greg Monroe,Mil
SG,Bradley Beal,Was
C,Karl-Anthony Towns,Min
PF,Thaddeus Young,Bkn
C,Brook Lopez,Bkn
C,DeAndre Jordan,LAC
PG,Kemba Walker,Cha
PG,Ricky Rubio,Min
SG,C.J. McCollum,Por
SF,Giannis Antetokounmpo,Mil
C,Jahlil Okafor,Phi
SG,Dwyane Wade,Mia
C,Nikola Vucevic,Orl
SF,Robert Covington,Phi
SG,Andrew Wiggins,Min
PF,Dirk Nowitzki,Dal
PG,Deron Williams,Dal
PF,LaMarcus Aldridge,SA
SG,Klay Thompson,GS
C,Hassan Whiteside,Mia
C,Al Horford,Atl
PG,Elfrid Payton,Orl
PG,Jeff Teague,Atl
PG,Jarrett Jack,Bkn
C,Al Jefferson,Cha
C,Marcin Gortat,Was
PG,Mike Conley,Mem
PG,Derrick Rose,Chi
SG,Victor Oladipo,Orl
C,Rudy Gobert,Uta
PF,Ryan Anderson,NO
C,Jared Sullinger,Bos
SF,Otto Porter,Was
PF,Zach Randolph,Mem
PF,Serge Ibaka,OKC
SG,Avery Bradley,Bos
SF,Tobias Harris,Orl
PF,Jon Leuer,Pho
PG,Michael Carter-Williams,Mil
C,Zaza Pachulia,Dal
SG,Wesley Matthews,Dal
PF,Nerlens Noel,Phi
SG,O.J. Mayo,Mil
SF,Marcus Morris,Det
SF,Jae Crowder,Bos
C,Tim Duncan,SA
PF,Marvin Williams,Cha
SF,Harrison Barnes,GS
SF,Andre Iguodala,GS
SF,C.J. Miles,Ind
PG,Zach LaVine,Min
SG,Monta Ellis,Ind
SF,Kent Bazemore,Atl
PG,Goran Dragic,Mia
PG,George Hill,Ind
SG,Khris Middleton,Mil
SG,Jamal Crawford,LAC
PG,Tony Parker,SA
SG,Raymond Felton,Dal
PF,Ersan Ilyasova,Det
PG,Ish Smith,NO
SF,Al-Farouq Aminu,Por
C,Alex Len,Pho
PF,Jabari Parker,Mil
SF,Joe Johnson,Bkn
SF,Matt Barnes,Mem
C,Joakim Noah,Chi
C,Mason Plumlee,Por
C,Gorgui Dieng,Min
SG,Alec Burks,Uta
PF,Nikola Mirotic,Chi
SG,Kentavious Caldwell-Pope,Det
SF,Evan Fournier,Orl
SF,Jerami Grant,Phi
PG,Dennis Schroder,Atl
SF,Jeff Green,Mem
PG,Jerryd Bayless,Mil
SG,Evan Turner,Bos
SG,Eric Gordon,NO
SG,Kevin Martin,Min
C,Ian Mahinmi,Ind
PF,Jordan Hill,Ind
PF,Amir Johnson,Bos
PG,Jrue Holiday,NO
PF,Ed Davis,Por
PF,Cody Zeller,Cha
PG,Marcus Smart,Bos
SG,Arron Afflalo,NY
SF,Bojan Bogdanovic,Bkn
SG,Rondae Hollis-Jefferson,Bkn
SG,J.J. Redick,LAC
SF,Luol Deng,Mia
SG,Rodney Stuckey,Ind
PF,Trevor Booker,Uta
C,Festus Ezeli,GS
PG,Isaiah Canaan,Phi
C,Kelly Olynyk,Bos
PG,T.J. McConnell,Phi
C,Enes Kanter,OKC
C,Andrew Bogut,GS
SG,Gerald Green,Mia
SF,Thabo Sefolosha,Atl
PF,Taj Gibson,Chi
SF,Mirza Teletovic,Pho
C,Tyson Chandler,Pho
SG,Kyle Korver,Atl
SF,Jared Dudley,Was
SF,Chandler Parsons,Dal
SG,Jeremy Lamb,Cha
SG,Rodney Hood,Uta
PG,Trey Burke,Uta
SG,Manu Ginobili,SA
SG,Gary Neal,Was
PG,Jose Calderon,NY
PG,Jeremy Lin,Cha
PF,Markieff Morris,Pho
PG,Shane Larkin,Bkn
SG,Courtney Lee,Mem
PF,Andrew Nicholson,Orl
PF,Dwight Powell,Dal
PG,Mario Chalmers,Mem
PG,Brandon Jennings,Det
SG,Allen Crabbe,Por
SG,Dion Waiters,OKC
PG,Tony Wroten,Phi
SF,T.J. Warren,Pho
PF,David Lee,Bos
PF,Nene Hilario,Was
SF,P.J. Tucker,Pho
PG,Ramon Sessions,Was
C,Robin Lopez,NY
C,Steven Adams,OKC
PF,David West,SA
SG,Danny Green,SA
PF,John Henson,Mil
C,Meyers Leonard,Por
SG,Tyler Johnson,Mia
SF,Stanley Johnson,Det
PF,Kris Humphries,Was
PF,Josh Smith,LAC
SG,Garrett Temple,Was
PG,Patty Mills,SA
SG,Langston Galloway,NY
SF,Justise Winslow,Mia
PG,Devin Harris,Dal
C,Spencer Hawes,Cha
SG,Hollis Thompson,Phi
SF,Doug McDermott,Chi
SG,Austin Rivers,LAC
C,Frank Kaminsky,Cha
SF,Shabazz Muhammad,Min
SF,Aaron Gordon,Orl
PF,Boris Diaw,SA
SG,Brandon Rush,GS
PG,Greivis Vasquez,Mil
PF,Nemanja Bjelica,Min
SF,Tony Snell,Chi
SG,Nik Stauskas,Phi
PF,Channing Frye,Orl
SF,Tony Allen,Mem
PG,J.J. Barea,Dal
PG,Aaron Brooks,Chi
PG,Shaun Livingston,GS
SF,Lance Thomas,NY
C,Lavoy Allen,Ind
C,Alexis Ajinca,NO
