,Position,Name,teamAbbrev,NBAAbbrev
1,PG,Stephen Curry,GS,GSW
2,PF,Anthony Davis,NO,NOP
3,PG,Russell Westbrook,OKC,OKC
4,SF,Kevin Durant,OKC,OKC
5,SF,Paul George,Ind,IND
6,PG,John Wall,Was,WAS
7,PG,Damian Lillard,Por,POR
8,C,Andre Drummond,Det,DET
9,PF,Blake Griffin,LAC,LAC
10,SF,Kawhi Leonard,SA,SAS
11,PF,Draymond Green,GS,GSW
12,SG,Eric Bledsoe,Pho,PHO
13,SF,Carmelo Anthony,NY,NYK
14,PF,Paul Millsap,Atl,ATL
15,PG,Chris Paul,LAC,LAC
16,C,Pau Gasol,Chi,CHI
17,PG,Isaiah Thomas,Bos,BOS
18,SF,Nicolas Batum,Cha,CHA
19,PF,Derrick Favors,Uta,UTA
20,SG,Jimmy Butler,Chi,CHI
21,PG,Reggie Jackson,Det,DET
22,PG,Brandon Knight,Pho,PHO
23,C,Marc Gasol,Mem,MEM
24,SG,Tyreke Evans,NO,NOP
25,SF,Gordon Hayward,Uta,UTA
26,PF,Kristaps Porzingis,NY,NYK
27,PF,Chris Bosh,Mia,MIA
28,C,Greg Monroe,Mil,MIL
29,SG,Bradley Beal,Was,WAS
30,C,Karl-Anthony Towns,Min,MIN
31,PF,Thaddeus Young,Bkn,BKN
32,C,Brook Lopez,Bkn,BKN
33,C,DeAndre Jordan,LAC,LAC
34,PG,Kemba Walker,Cha,CHA
35,PG,Ricky Rubio,Min,MIN
36,SG,C.J. McCollum,Por,POR
37,SF,Giannis Antetokounmpo,Mil,MIL
38,C,Jahlil Okafor,Phi,PHI
39,SG,Dwyane Wade,Mia,MIA
40,C,Nikola Vucevic,Orl,ORL
41,SF,Robert Covington,Phi,PHI
42,SG,Andrew Wiggins,Min,MIN
43,PF,Dirk Nowitzki,Dal,DAL
44,PG,Deron Williams,Dal,DAL
45,PF,LaMarcus Aldridge,SA,SAS
46,SG,Klay Thompson,GS,GSW
47,C,Hassan Whiteside,Mia,MIA
48,C,Al Horford,Atl,ATL
49,PG,Elfrid Payton,Orl,ORL
50,PG,Jeff Teague,Atl,ATL
51,PG,Jarrett Jack,Bkn,BKN
52,C,Al Jefferson,Cha,CHA
53,C,Marcin Gortat,Was,WAS
54,PG,Mike Conley,Mem,MEM
55,PG,Derrick Rose,Chi,CHI
56,SG,Victor Oladipo,Orl,ORL
57,C,Rudy Gobert,Uta,UTA
58,PF,Ryan Anderson,NO,NOP
59,C,Jared Sullinger,Bos,BOS
60,SF,Otto Porter,Was,WAS
61,PF,Zach Randolph,Mem,MEM
62,PF,Serge Ibaka,OKC,OKC
63,SG,Avery Bradley,Bos,BOS
64,SF,Tobias Harris,Orl,ORL
65,PF,Jon Leuer,Pho,PHO
66,PG,Michael Carter-Williams,Mil,MIL
67,C,Zaza Pachulia,Dal,DAL
68,SG,Wesley Matthews,Dal,DAL
69,PF,Nerlens Noel,Phi,PHI
70,SG,O.J. Mayo,Mil,MIL
71,SF,Marcus Morris,Det,DET
72,SF,Jae Crowder,Bos,BOS
73,C,Tim Duncan,SA,SAS
74,PF,Marvin Williams,Cha,CHA
75,SF,Harrison Barnes,GS,GSW
76,SF,Andre Iguodala,GS,GSW
77,SF,C.J. Miles,Ind,IND
78,PG,Zach LaVine,Min,MIN
79,SG,Monta Ellis,Ind,IND
80,SF,Kent Bazemore,Atl,ATL
81,PG,Goran Dragic,Mia,MIA
82,PG,George Hill,Ind,IND
83,SG,Khris Middleton,Mil,MIL
84,SG,Jamal Crawford,LAC,LAC
85,PG,Tony Parker,SA,SAS
86,SG,Raymond Felton,Dal,DAL
87,PF,Ersan Ilyasova,Det,DET
88,PG,Ish Smith,NO,NOP
89,SF,Al-Farouq Aminu,Por,POR
90,C,Alex Len,Pho,PHO
91,PF,Jabari Parker,Mil,MIL
92,SF,Joe Johnson,Bkn,BKN
93,SF,Matt Barnes,Mem,MEM
94,C,Joakim Noah,Chi,CHI
95,C,Mason Plumlee,Por,POR
96,C,Gorgui Dieng,Min,MIN
97,SG,Alec Burks,Uta,UTA
98,PF,Nikola Mirotic,Chi,CHI
99,SG,Kentavious Caldwell-Pope,Det,DET
100,SF,Evan Fournier,Orl,ORL
101,SF,Jerami Grant,Phi,PHI
102,PG,Dennis Schroder,Atl,ATL
103,SF,Jeff Green,Mem,MEM
104,PG,Jerryd Bayless,Mil,MIL
105,SG,Evan Turner,Bos,BOS
106,SG,Eric Gordon,NO,NOP
107,SG,Kevin Martin,Min,MIN
108,C,Ian Mahinmi,Ind,IND
109,PF,Jordan Hill,Ind,IND
110,PF,Amir Johnson,Bos,BOS
111,PG,Jrue Holiday,NO,NOP
112,PF,Ed Davis,Por,POR
113,PF,Cody Zeller,Cha,CHA
114,PG,Marcus Smart,Bos,BOS
115,SG,Arron Afflalo,NY,NYK
116,SF,Bojan Bogdanovic,Bkn,BKN
117,SG,Rondae Hollis-Jefferson,Bkn,BKN
118,SG,J.J. Redick,LAC,LAC
119,SF,Luol Deng,Mia,MIA
120,SG,Rodney Stuckey,Ind,IND
121,PF,Trevor Booker,Uta,UTA
122,C,Festus Ezeli,GS,GSW
123,PG,Isaiah Canaan,Phi,PHI
124,C,Kelly Olynyk,Bos,BOS
125,PG,T.J. McConnell,Phi,PHI
126,C,Enes Kanter,OKC,OKC
