,Rk,G,Date,Age,Tm,Home,Opp,ScoreDiff,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS,TS%,EFG%,AgeYear,AgeDays,SFG,SFGA,S3P,S3PA,SFT,SFTA,SORB,SDRB,STRB,SAST,SSTL,SBLK,STOV,SPF,SPTS,SDFS,AFG,AFGA,A3P,A3PA,AFT,AFTA,AORB,ADRB,ATRB,AAST,ASTL,ABLK,ATOV,APF,APTS,ADFS,Rest
0,1,1,2015-10-28,31-152,NYK,False,MIL,W (+25),1,29,4,16,0.25,1,5,0.2,2,2,1.0,0,6,6,5,1,1,2,4,11,4.8,4,29.5,0.334549878345,0.28125,31,152,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,14
1,2,2,2015-10-29,31-153,NYK,True,ATL,L (-11),1,31,10,27,0.37,0,7,0.0,5,5,1.0,3,4,7,3,3,0,1,4,25,15.9,-18,43.8,0.444839857651,0.37037037037,31,153,4,16,1,5,2,2,0,6,7,5,1,1,2,4,11,29.5,4.0,16.0,1.0,5.0,2.0,2.0,0.0,6.0,6.0,5.0,1.0,1.0,2.0,4.0,11.0,29.5,1
2,3,3,2015-10-31,31-155,NYK,False,WAS,W (+7),1,35,11,18,0.611,4,5,0.8,11,12,0.917,1,6,7,4,0,1,2,3,37,31.2,6,54.8,0.896317829457,0.722222222222,31,155,14,43,1,12,7,7,3,10,7,8,4,1,3,8,36,73.3,7.0,21.5,0.5,6.0,3.5,3.5,1.5,5.0,6.5,4.0,2.0,0.5,1.5,4.0,18.0,36.65,2
3,4,4,2015-11-02,31-157,NYK,True,SAS,L (-10),1,35,4,17,0.235,1,3,0.333,10,12,0.833,3,4,7,2,1,0,1,3,19,11.4,-9,32.8,0.483706720978,0.264705882353,31,157,25,61,5,17,18,19,4,16,7,12,4,2,5,11,73,128.1,8.33333333333,20.3333333333,1.66666666667,5.66666666667,6.0,6.33333333333,1.33333333333,5.33333333333,6.66666666667,4.0,1.33333333333,0.666666666667,1.66666666667,3.66666666667,24.3333333333,42.7,2
4,5,5,2015-11-04,31-159,NYK,False,CLE,L (-10),1,36,6,18,0.333,2,5,0.4,3,4,0.75,2,10,12,4,1,2,1,4,17,13.4,-11,46.0,0.450211864407,0.388888888889,31,159,29,78,6,20,28,31,7,20,12,14,5,2,6,14,92,160.9,7.25,19.5,1.5,5.0,7.0,7.75,1.75,5.0,6.75,3.5,1.25,0.5,1.5,3.5,23.0,40.225,2
5,6,6,2015-11-06,31-161,NYK,True,MIL,L (-7),1,33,6,16,0.375,1,3,0.333,4,4,1.0,0,4,4,6,0,0,5,2,17,7.8,0,29.0,0.50355450237,0.40625,31,161,35,96,8,25,31,35,9,30,4,18,6,4,7,18,109,206.9,7.0,19.2,1.6,5.0,6.2,7.0,1.8,6.0,7.8,3.6,1.2,0.8,1.4,3.6,21.8,41.38,2
6,7,7,2015-11-08,31-163,NYK,True,LAL,W (+4),1,34,8,20,0.4,2,6,0.333,6,6,1.0,0,8,8,2,0,0,2,4,24,13.4,6,37.0,0.562851782364,0.45,31,163,41,112,9,28,35,39,9,34,8,24,6,4,12,20,126,235.9,6.83333333333,18.6666666667,1.5,4.66666666667,5.83333333333,6.5,1.5,5.66666666667,7.16666666667,4.0,1.0,0.666666666667,2.0,3.33333333333,21.0,39.3166666667,2
7,8,8,2015-11-10,31-165,NYK,False,TOR,W (+2),1,33,10,23,0.435,2,6,0.333,3,3,1.0,0,4,4,3,3,0,2,2,25,16.4,-2,40.5,0.52831783601,0.478260869565,31,165,49,132,11,34,41,45,9,42,4,26,6,4,14,24,150,272.9,7.0,18.8571428571,1.57142857143,4.85714285714,5.85714285714,6.42857142857,1.28571428571,6.0,7.28571428571,3.71428571429,0.857142857143,0.571428571429,2.0,3.42857142857,21.4285714286,38.9857142857,2
8,9,9,2015-11-11,31-166,NYK,False,CHO,L (-2),1,34,12,25,0.48,3,6,0.5,2,4,0.5,1,5,6,4,0,0,3,2,29,16.7,7,42.5,0.56027820711,0.54,31,166,59,155,13,40,44,48,9,46,6,29,9,4,16,26,175,313.4,7.375,19.375,1.625,5.0,5.5,6.0,1.125,5.75,6.875,3.625,1.125,0.5,2.0,3.25,21.875,39.175,1
9,10,10,2015-11-13,31-168,NYK,True,CLE,L (-6),1,35,9,20,0.45,4,8,0.5,4,4,1.0,1,4,5,4,0,1,1,3,26,18.8,1,41.8,0.622605363985,0.55,31,168,71,180,16,46,46,52,10,51,5,33,9,4,19,28,204,355.9,7.88888888889,20.0,1.77777777778,5.11111111111,5.11111111111,5.77777777778,1.11111111111,5.66666666667,6.77777777778,3.66666666667,1.0,0.444444444444,2.11111111111,3.11111111111,22.6666666667,39.5444444444,2
10,11,11,2015-11-15,31-170,NYK,True,NOP,W (+8),1,39,11,21,0.524,1,5,0.2,6,7,0.857,1,12,13,3,1,0,2,2,29,22.9,10,52.8,0.64330079858,0.547619047619,31,170,80,200,20,54,50,56,11,55,13,37,9,5,20,31,230,397.7,8.0,20.0,2.0,5.4,5.0,5.6,1.1,5.5,6.6,3.7,0.9,0.5,2.0,3.1,23.0,39.77,2
