Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,1,2015-10-28,31-152,NYK,@,MIL,W (+25),1,29:16,4,16,.250,1,5,.200,2,2,1.000,0,6,6,5,1,1,2,4,11,4.8,+4,29.5
2,2,2015-10-29,31-153,NYK,,ATL,L (-11),1,31:54,10,27,.370,0,7,.000,5,5,1.000,3,4,7,3,3,0,1,4,25,15.9,-18,43.8
3,3,2015-10-31,31-155,NYK,@,WAS,W (+7),1,35:45,11,18,.611,4,5,.800,11,12,.917,1,6,7,4,0,1,2,3,37,31.2,+6,54.8
4,4,2015-11-02,31-157,NYK,,SAS,L (-10),1,35:28,4,17,.235,1,3,.333,10,12,.833,3,4,7,2,1,0,1,3,19,11.4,-9,32.8
5,5,2015-11-04,31-159,NYK,@,CLE,L (-10),1,36:50,6,18,.333,2,5,.400,3,4,.750,2,10,12,4,1,2,1,4,17,13.4,-11,46.0
6,6,2015-11-06,31-161,NYK,,MIL,L (-7),1,33:48,6,16,.375,1,3,.333,4,4,1.000,0,4,4,6,0,0,5,2,17,7.8,0,29.0
7,7,2015-11-08,31-163,NYK,,LAL,W (+4),1,34:57,8,20,.400,2,6,.333,6,6,1.000,0,8,8,2,0,0,2,4,24,13.4,+6,37.0
8,8,2015-11-10,31-165,NYK,@,TOR,W (+2),1,33:02,10,23,.435,2,6,.333,3,3,1.000,0,4,4,3,3,0,2,2,25,16.4,-2,40.5
9,9,2015-11-11,31-166,NYK,@,CHO,L (-2),1,34:41,12,25,.480,3,6,.500,2,4,.500,1,5,6,4,0,0,3,2,29,16.7,+7,42.5
10,10,2015-11-13,31-168,NYK,,CLE,L (-6),1,35:48,9,20,.450,4,8,.500,4,4,1.000,1,4,5,4,0,1,1,3,26,18.8,+1,41.8
11,11,2015-11-15,31-170,NYK,,NOP,W (+8),1,39:16,11,21,.524,1,5,.200,6,7,.857,1,12,13,3,1,0,2,2,29,22.9,+10,52.8
12,12,2015-11-17,31-172,NYK,,CHO,W (+8),1,37:19,6,18,.333,1,4,.250,5,6,.833,2,9,11,5,0,2,1,2,18,14.6,+19,44.8
13,13,2015-11-20,31-175,NYK,@,OKC,W (+3),1,34:42,9,20,.450,1,3,.333,6,8,.750,0,5,5,1,1,1,3,0,25,14.7,-1,35.8
14,14,2015-11-21,31-176,NYK,@,HOU,W (+5),1,24:58,5,10,.500,1,2,.500,3,4,.750,3,3,6,0,0,0,3,5,14,6.6,+7,20.5
15,15,2015-11-23,31-178,NYK,@,MIA,L (-17),1,41:21,6,16,.375,0,5,.000,9,9,1.000,2,6,8,4,4,1,4,0,21,18.9,-7,45.0
16,16,2015-11-25,31-180,NYK,@,ORL,L (-9),1,35:17,9,17,.529,3,4,.750,7,9,.778,3,9,12,3,1,0,2,4,28,23.2,+4,51.5
17,17,2015-11-27,31-182,NYK,,MIA,L (-19),1,33:55,4,13,.308,1,3,.333,2,2,1.000,1,2,3,1,1,1,1,3,11,5.0,-23,20.3
18,,2015-11-29,31-184,NYK,,HOU,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,18,2015-12-02,31-187,NYK,,PHI,W (+12),1,26:26,5,16,.313,0,3,.000,2,2,1.000,0,6,6,2,0,0,4,2,12,1.2,+12,20.5
20,19,2015-12-04,31-189,NYK,,BRK,W (+17),1,31:24,9,18,.500,5,8,.625,5,7,.714,1,6,7,3,2,0,2,1,28,22.4,+14,46.8
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
21,20,2015-12-05,31-190,NYK,@,MIL,L (-15),1,31:57,6,17,.353,2,7,.286,4,4,1.000,0,5,5,3,1,1,2,5,18,9.8,-23,32.8
22,21,2015-12-07,31-192,NYK,,DAL,L (-7),1,37:58,6,18,.333,1,6,.167,4,5,.800,1,5,6,8,0,0,5,4,17,7.6,-4,34.5
23,22,2015-12-09,31-194,NYK,@,UTA,L (-21),1,25:50,3,11,.273,1,4,.250,5,7,.714,0,5,5,2,1,0,4,2,12,3.8,-18,21.8
24,23,2015-12-10,31-195,NYK,@,SAC,L (-2),1,39:22,8,21,.381,1,3,.333,6,11,.545,5,9,14,4,1,1,5,3,23,14.0,-2,50.0
