"","Name","First","Last","URL"
"1","Kobe Bryant","Kobe","Bryant","http://www.basketball-reference.com/players/b/bryanko01/gamelog/2016"
"2","Joe Johnson","Joe","Johnson","http://www.basketball-reference.com/players/j/johnsjo02/gamelog/2016"
"3","LeBron James","LeBron","James","http://www.basketball-reference.com/players/j/jamesle01/gamelog/2016"
"4","Carmelo Anthony","Carmelo","Anthony","http://www.basketball-reference.com/players/a/anthoca01/gamelog/2016"
"5","Dwight Howard","Dwight","Howard","http://www.basketball-reference.com/players/h/howardw01/gamelog/2016"
"6","Chris Bosh","Chris","Bosh","http://www.basketball-reference.com/players/b/boshch01/gamelog/2016"
"7","Chris Paul","Chris","Paul","http://www.basketball-reference.com/players/p/paulch01/gamelog/2016"
"8","Kevin Durant","Kevin","Durant","http://www.basketball-reference.com/players/d/duranke01/gamelog/2016"
"9","Derrick Rose","Derrick","Rose","http://www.basketball-reference.com/players/r/rosede01/gamelog/2016"
"10","Dwyane Wade","Dwyane","Wade","http://www.basketball-reference.com/players/w/wadedw01/gamelog/2016"
"11","Brook Lopez","Brook","Lopez","http://www.basketball-reference.com/players/l/lopezbr01/gamelog/2016"
"12","Marc Gasol","Marc","Gasol","http://www.basketball-reference.com/players/g/gasolma01/gamelog/2016"
"13","LaMarcus Aldridge","LaMarcus","Aldridge","http://www.basketball-reference.com/players/a/aldrila01/gamelog/2016"
"14","DeAndre Jordan","DeAndre","Jordan","http://www.basketball-reference.com/players/j/jordade01/gamelog/2016"
"15","Kevin Love","Kevin","Love","http://www.basketball-reference.com/players/l/loveke01/gamelog/2016"
"16","Paul Millsap","Paul","Millsap","http://www.basketball-reference.com/players/m/millspa01/gamelog/2016"
"17","Blake Griffin","Blake","Griffin","http://www.basketball-reference.com/players/g/griffbl01/gamelog/2016"
"18","Paul George","Paul","George","http://www.basketball-reference.com/players/g/georgpa01/gamelog/2016"
"19","Russell Westbrook","Russell","Westbrook","http://www.basketball-reference.com/players/w/westbru01/gamelog/2016"
"20","Kawhi Leonard","Kawhi","Leonard","http://www.basketball-reference.com/players/l/leonaka01/gamelog/2016"
"21","Enes Kanter","Enes","Kanter","http://www.basketball-reference.com/players/k/kanteen01/gamelog/2016"
"22","Greg Monroe","Greg","Monroe","http://www.basketball-reference.com/players/m/monrogr01/gamelog/2016"
"23","Wesley Matthews","Wesley","Matthews","http://www.basketball-reference.com/players/m/matthwe01/gamelog/2016"
"24","Tobias Harris","Tobias","Harris","http://www.basketball-reference.com/players/h/harrito02/gamelog/2016"
"25","John Wall","John","Wall","http://www.basketball-reference.com/players/w/walljo01/gamelog/2016"
"26","James Harden","James","Harden","http://www.basketball-reference.com/players/h/hardeja01/gamelog/2016"
"27","Eric Gordon","Eric","Gordon","http://www.basketball-reference.com/players/g/gordoer01/gamelog/2016"
"28","Roy Hibbert","Roy","Hibbert","http://www.basketball-reference.com/players/h/hibbero01/gamelog/2016"
"29","Klay Thompson","Klay","Thompson","http://www.basketball-reference.com/players/t/thompkl01/gamelog/2016"
"30","David Lee","David","Lee","http://www.basketball-reference.com/players/l/leeda02/gamelog/2016"
"31","Gordon Hayward","Gordon","Hayward","http://www.basketball-reference.com/players/h/haywago01/gamelog/2016"
"32","Chandler Parsons","Chandler","Parsons","http://www.basketball-reference.com/players/p/parsoch01/gamelog/2016"
"33","Jimmy Butler","Jimmy","Butler","http://www.basketball-reference.com/players/b/butleji01/gamelog/2016"
"34","Khris Middleton","Khris","Middleton","http://www.basketball-reference.com/players/m/middlkh01/gamelog/2016"
"35","Goran Dragic","Goran","Dragic","http://www.basketball-reference.com/players/d/dragigo01/gamelog/2016"
"36","Kyrie Irving","Kyrie","Irving","http://www.basketball-reference.com/players/i/irvinky01/gamelog/2016"
"37","DeMarcus Cousins","DeMarcus","Cousins","http://www.basketball-reference.com/players/c/couside01/gamelog/2016"
"38","Draymond Green","Draymond","Green","http://www.basketball-reference.com/players/g/greendr01/gamelog/2016"
"39","Tristan Thompson","Tristan","Thompson","http://www.basketball-reference.com/players/t/thomptr01/gamelog/2016"
"40","Reggie Jackson","Reggie","Jackson","http://www.basketball-reference.com/players/j/jacksre01/gamelog/2016"
"41","Danilo Gallinari","Danilo","Gallinari","http://www.basketball-reference.com/players/g/gallida01/gamelog/2016"
"42","Al Jefferson","Al","Jefferson","http://www.basketball-reference.com/players/j/jeffeal01/gamelog/2016"
"43","DeMarre Carroll","DeMarre","Carroll","http://www.basketball-reference.com/players/c/carrode01/gamelog/2016"
"44","Tony Parker","Tony","Parker","http://www.basketball-reference.com/players/p/parketo01/gamelog/2016"
"45","Joakim Noah","Joakim","Noah","http://www.basketball-reference.com/players/n/noahjo01/gamelog/2016"
"46","Eric Bledsoe","Eric","Bledsoe","http://www.basketball-reference.com/players/b/bledser01/gamelog/2016"
"47","Nene Hilario","Nene","Hilario","http://www.basketball-reference.com/players/h/hilarne01/gamelog/2016"
"48","Tyson Chandler","Tyson","Chandler","http://www.basketball-reference.com/players/c/chandty01/gamelog/2016"
"49","Robin Lopez","Robin","Lopez","http://www.basketball-reference.com/players/l/lopezro01/gamelog/2016"
"50","Ty Lawson","Ty","Lawson","http://www.basketball-reference.com/players/l/lawsoty01/gamelog/2016"
"51","Rudy Gay","Rudy","Gay","http://www.basketball-reference.com/players/g/gayru01/gamelog/2016"
"52","Ricky Rubio","Ricky","Rubio","http://www.basketball-reference.com/players/r/rubiori01/gamelog/2016"
"53","Serge Ibaka","Serge","Ibaka","http://www.basketball-reference.com/players/i/ibakase01/gamelog/2016"
"54","Nicolas Batum","Nicolas","Batum","http://www.basketball-reference.com/players/b/batumni01/gamelog/2016"
"55","Nikola Pekovic","Nikola","Pekovic","http://www.basketball-reference.com/players/p/pekovni01/gamelog/2016"
"56","Kyle Lowry","Kyle","Lowry","http://www.basketball-reference.com/players/l/lowryky01/gamelog/2016"
"57","Brandon Knight","Brandon","Knight","http://www.basketball-reference.com/players/k/knighbr01/gamelog/2016"
"58","JaVale McGee","JaVale","McGee","http://www.basketball-reference.com/players/m/mcgeeja01/gamelog/2016"
"59","Andrew Bogut","Andrew","Bogut","http://www.basketball-reference.com/players/b/bogutan01/gamelog/2016"
"60","Kemba Walker","Kemba","Walker","http://www.basketball-reference.com/players/w/walkeke02/gamelog/2016"
"61","Amir Johnson","Amir","Johnson","http://www.basketball-reference.com/players/j/johnsam01/gamelog/2016"
"62","Al Horford","Al","Horford","http://www.basketball-reference.com/players/h/horfoal01/gamelog/2016"
"63","Derrick Favors","Derrick","Favors","http://www.basketball-reference.com/players/f/favorde01/gamelog/2016"
"64","Andre Iguodala","Andre","Iguodala","http://www.basketball-reference.com/players/i/iguodan01/gamelog/2016"
"65","Stephen Curry","Stephen","Curry","http://www.basketball-reference.com/players/c/curryst01/gamelog/2016"
"66","Nikola Vucevic","Nikola","Vucevic","http://www.basketball-reference.com/players/v/vucevni01/gamelog/2016"
"67","Kenneth Faried","Kenneth","Faried","http://www.basketball-reference.com/players/f/farieke01/gamelog/2016"
"68","Tyreke Evans","Tyreke","Evans","http://www.basketball-reference.com/players/e/evansty01/gamelog/2016"
"69","Marcin Gortat","Marcin","Gortat","http://www.basketball-reference.com/players/g/gortama01/gamelog/2016"
"70","Thaddeus Young","Thaddeus","Young","http://www.basketball-reference.com/players/y/youngth01/gamelog/2016"
"71","Omer Asik","Omer","Asik","http://www.basketball-reference.com/players/a/asikom01/gamelog/2016"
"72","Jrue Holiday","Jrue","Holiday","http://www.basketball-reference.com/players/h/holidjr01/gamelog/2016"
"73","Wilson Chandler","Wilson","Chandler","http://www.basketball-reference.com/players/c/chandwi01/gamelog/2016"
"74","Monta Ellis","Monta","Ellis","http://www.basketball-reference.com/players/e/ellismo01/gamelog/2016"
"75","Luol Deng","Luol","Deng","http://www.basketball-reference.com/players/d/denglu01/gamelog/2016"
"76","Gerald Wallace","Gerald","Wallace","http://www.basketball-reference.com/players/w/wallage01/gamelog/2016"
"77","Danny Green","Danny","Green","http://www.basketball-reference.com/players/g/greenda01/gamelog/2016"
"78","Zach Randolph","Zach","Randolph","http://www.basketball-reference.com/players/r/randoza01/gamelog/2016"
"79","Anderson Varejao","Anderson","Varejao","http://www.basketball-reference.com/players/v/varejan01/gamelog/2016"
"80","Mike Conley","Mike","Conley","http://www.basketball-reference.com/players/c/conlemi01/gamelog/2016"
"81","DeMar DeRozan","DeMar","DeRozan","http://www.basketball-reference.com/players/d/derozde01/gamelog/2016"
"82","Rajon Rondo","Rajon","Rondo","http://www.basketball-reference.com/players/r/rondora01/gamelog/2016"
"83","Alec Burks","Alec","Burks","http://www.basketball-reference.com/players/b/burksal01/gamelog/2016"
"84","Jeff Green","Jeff","Green","http://www.basketball-reference.com/players/g/greenje02/gamelog/2016"
"85","Lance Stephenson","Lance","Stephenson","http://www.basketball-reference.com/players/s/stephla01/gamelog/2016"
"86","Iman Shumpert","Iman","Shumpert","http://www.basketball-reference.com/players/s/shumpim01/gamelog/2016"
"87","Ryan Anderson","Ryan","Anderson","http://www.basketball-reference.com/players/a/anderry01/gamelog/2016"
"88","Kevin Garnett","Kevin","Garnett","http://www.basketball-reference.com/players/g/garneke01/gamelog/2016"
"89","Taj Gibson","Taj","Gibson","http://www.basketball-reference.com/players/g/gibsota01/gamelog/2016"
"90","Tiago Splitter","Tiago","Splitter","http://www.basketball-reference.com/players/s/splitti01/gamelog/2016"
"91","Brandon Jennings","Brandon","Jennings","http://www.basketball-reference.com/players/j/jennibr01/gamelog/2016"
"92","Dirk Nowitzki","Dirk","Nowitzki","http://www.basketball-reference.com/players/n/nowitdi01/gamelog/2016"
"93","Corey Brewer","Corey","Brewer","http://www.basketball-reference.com/players/b/breweco01/gamelog/2016"
"94","Trevor Ariza","Trevor","Ariza","http://www.basketball-reference.com/players/a/arizatr01/gamelog/2016"
"95","Markieff Morris","Markieff","Morris","http://www.basketball-reference.com/players/m/morrima02/gamelog/2016"
"96","Arron Afflalo","Arron","Afflalo","http://www.basketball-reference.com/players/a/afflaar01/gamelog/2016"
"97","O.J. Mayo","OJ","Mayo","http://www.basketball-reference.com/players/m/mayooj01/gamelog/2016"
"98","George Hill","George","Hill","http://www.basketball-reference.com/players/h/hillge01/gamelog/2016"
"99","Jeff Teague","Jeff","Teague","http://www.basketball-reference.com/players/t/teaguje01/gamelog/2016"
"100","Ersan Ilyasova","Ersan","Ilyasova","http://www.basketball-reference.com/players/i/ilyaser01/gamelog/2016"
"101","Channing Frye","Channing","Frye","http://www.basketball-reference.com/players/f/fryech01/gamelog/2016"
"102","Avery Bradley","Avery","Bradley","http://www.basketball-reference.com/players/b/bradlav01/gamelog/2016"
"103","Kosta Koufos","Kosta","Koufos","http://www.basketball-reference.com/players/k/koufoko01/gamelog/2016"
"104","Al-Farouq Aminu","AlFarouq","Aminu","http://www.basketball-reference.com/players/a/aminual01/gamelog/2016"
"105","Pau Gasol","Pau","Gasol","http://www.basketball-reference.com/players/g/gasolpa01/gamelog/2016"
"106","Jose Calderon","Jose","Calderon","http://www.basketball-reference.com/players/c/caldejo01/gamelog/2016"
"107","Kevin Martin","Kevin","Martin","http://www.basketball-reference.com/players/m/martike01/gamelog/2016"
"108","Anthony Davis","Anthony","Davis","http://www.basketball-reference.com/players/d/davisan01/gamelog/2016"
"109","Cory Joseph","Cory","Joseph","http://www.basketball-reference.com/players/j/josepco01/gamelog/2016"
"110","Boris Diaw","Boris","Diaw","http://www.basketball-reference.com/players/d/diawbo01/gamelog/2016"
"111","Ed Davis","Ed","Davis","http://www.basketball-reference.com/players/d/davised01/gamelog/2016"
"112","Lou Williams","Lou","Williams","http://www.basketball-reference.com/players/w/willilo02/gamelog/2016"
"113","Marvin Williams","Marvin","Williams","http://www.basketball-reference.com/players/w/willima01/gamelog/2016"
"114","Isaiah Thomas","Isaiah","Thomas","http://www.basketball-reference.com/players/t/thomais02/gamelog/2016"
"115","J.J. Redick","JJ","Redick","http://www.basketball-reference.com/players/r/redicjj01/gamelog/2016"
"116","Greivis Vasquez","Greivis","Vasquez","http://www.basketball-reference.com/players/v/vasqugr01/gamelog/2016"
"117","Carl Landry","Carl","Landry","http://www.basketball-reference.com/players/l/landrca01/gamelog/2016"
"118","Rodney Stuckey","Rodney","Stuckey","http://www.basketball-reference.com/players/s/stuckro01/gamelog/2016"
"119","Patrick Beverley","Patrick","Beverley","http://www.basketball-reference.com/players/b/beverpa01/gamelog/2016"
"120","Aron Baynes","Aron","Baynes","http://www.basketball-reference.com/players/b/baynear01/gamelog/2016"
"121","Jason Thompson","Jason","Thompson","http://www.basketball-reference.com/players/t/thompja02/gamelog/2016"
"122","Marco Belinelli","Marco","Belinelli","http://www.basketball-reference.com/players/b/belinma01/gamelog/2016"
"123","Michael Kidd-Gilchrist","Michael","KiddGilchrist","http://www.basketball-reference.com/players/k/kiddgmi01/gamelog/2016"
"124","Jarrett Jack","Jarrett","Jack","http://www.basketball-reference.com/players/j/jackja01/gamelog/2016"
"125","Jodie Meeks","Jodie","Meeks","http://www.basketball-reference.com/players/m/meeksjo01/gamelog/2016"
"126","Patrick Patterson","Patrick","Patterson","http://www.basketball-reference.com/players/p/pattepa01/gamelog/2016"
"127","Gerald Henderson","Gerald","Henderson","http://www.basketball-reference.com/players/h/hendege01/gamelog/2016"
"128","Jae Crowder","Jae","Crowder","http://www.basketball-reference.com/players/c/crowdja01/gamelog/2016"
"129","Andrew Wiggins","Andrew","Wiggins","http://www.basketball-reference.com/players/w/wiggian01/gamelog/2016"
"130","Kyle Korver","Kyle","Korver","http://www.basketball-reference.com/players/k/korveky01/gamelog/2016"
"131","Karl-Anthony Towns","KarlAnthony","Towns","http://www.basketball-reference.com/players/t/townska01/gamelog/2016"
"132","Bradley Beal","Bradley","Beal","http://www.basketball-reference.com/players/b/bealbr01/gamelog/2016"
"133","Courtney Lee","Courtney","Lee","http://www.basketball-reference.com/players/l/leeco01/gamelog/2016"
"134","Jamal Crawford","Jamal","Crawford","http://www.basketball-reference.com/players/c/crawfja01/gamelog/2016"
"135","Martell Webster","Martell","Webster","http://www.basketball-reference.com/players/w/webstma01/gamelog/2016"
"136","J.J. Hickson","JJ","Hickson","http://www.basketball-reference.com/players/h/hicksjj01/gamelog/2016"
"137","Josh McRoberts","Josh","McRoberts","http://www.basketball-reference.com/players/m/mcrobjo01/gamelog/2016"
"138","Shaun Livingston","Shaun","Livingston","http://www.basketball-reference.com/players/l/livinsh01/gamelog/2016"
"139","Spencer Hawes","Spencer","Hawes","http://www.basketball-reference.com/players/h/hawessp01/gamelog/2016"
"140","Nikola Mirotic","Nikola","Mirotic","http://www.basketball-reference.com/players/m/mirotni01/gamelog/2016"
"141","Mirza Teletovic","Mirza","Teletovic","http://www.basketball-reference.com/players/t/teletmi01/gamelog/2016"
"142","P.J. Tucker","PJ","Tucker","http://www.basketball-reference.com/players/t/tuckepj01/gamelog/2016"
"143","Brandan Wright","Brandan","Wright","http://www.basketball-reference.com/players/w/wrighbr03/gamelog/2016"
"144","Deron Williams","Deron","Williams","http://www.basketball-reference.com/players/w/willide01/gamelog/2016"
"145","Deron Williams","Deron","Williams","http://www.basketball-reference.com/players/w/willide01/gamelog/2016"
"146","Josh Smith","Josh","Smith","http://www.basketball-reference.com/players/s/smithjo02/gamelog/2016"
"147","Nick Young","Nick","Young","http://www.basketball-reference.com/players/y/youngni01/gamelog/2016"
"148","Zaza Pachulia","Zaza","Pachulia","http://www.basketball-reference.com/players/p/pachuza01/gamelog/2016"
"149","Victor Oladipo","Victor","Oladipo","http://www.basketball-reference.com/players/o/oladivi01/gamelog/2016"
"150","Tony Allen","Tony","Allen","http://www.basketball-reference.com/players/a/allento01/gamelog/2016"
"151","Jabari Parker","Jabari","Parker","http://www.basketball-reference.com/players/p/parkeja01/gamelog/2016"
"152","Dion Waiters","Dion","Waiters","http://www.basketball-reference.com/players/w/waitedi01/gamelog/2016"
"153","D'Angelo Russell","DAngelo","Russell","http://www.basketball-reference.com/players/r/russeda01/gamelog/2016"
"154","Darren Collison","Darren","Collison","http://www.basketball-reference.com/players/c/collida01/gamelog/2016"
"155","Tim Duncan","Tim","Duncan","http://www.basketball-reference.com/players/d/duncati01/gamelog/2016"
"156","Chris Kaman","Chris","Kaman","http://www.basketball-reference.com/players/k/kamanch01/gamelog/2016"
"157","C.J. Watson","CJ","Watson","http://www.basketball-reference.com/players/w/watsocj01/gamelog/2016"
"158","Kyle Singler","Kyle","Singler","http://www.basketball-reference.com/players/s/singlky01/gamelog/2016"
"159","Chris Andersen","Chris","Andersen","http://www.basketball-reference.com/players/a/anderch01/gamelog/2016"
"160","Chase Budinger","Chase","Budinger","http://www.basketball-reference.com/players/b/budinch01/gamelog/2016"
"161","Marcus Morris","Marcus","Morris","http://www.basketball-reference.com/players/m/morrima02/gamelog/2016"
"162","J.R. Smith","JR","Smith","http://www.basketball-reference.com/players/s/smithjr01/gamelog/2016"
"163","Jonas Jerebko","Jonas","Jerebko","http://www.basketball-reference.com/players/j/jerebjo01/gamelog/2016"
"164","Timofey Mozgov","Timofey","Mozgov","http://www.basketball-reference.com/players/m/mozgoti01/gamelog/2016"
"165","Derrick Williams","Derrick","Williams","http://www.basketball-reference.com/players/w/willide01/gamelog/2016"
"166","Trevor Booker","Trevor","Booker","http://www.basketball-reference.com/players/b/booketr01/gamelog/2016"
"167","Otto Porter","Otto","Porter","http://www.basketball-reference.com/players/p/porteot01/gamelog/2016"
"168","Jonas Valanciunas","Jonas","Valanciunas","http://www.basketball-reference.com/players/v/valanjo01/gamelog/2016"
"169","Joel Embiid","Joel","Embiid","http://www.basketball-reference.com/players/e/embiijo01/gamelog/2016"
"170","Kris Humphries","Kris","Humphries","http://www.basketball-reference.com/players/h/humphkr01/gamelog/2016"
"171","Jahlil Okafor","Jahlil","Okafor","http://www.basketball-reference.com/players/o/okafoja01/gamelog/2016"
"172","Jameer Nelson","Jameer","Nelson","http://www.basketball-reference.com/players/n/nelsoja01/gamelog/2016"
"173","Mike Dunleavy","Mike","Dunleavy","http://www.basketball-reference.com/players/d/dunlemi01/gamelog/2016"
"174","C.J. Miles","CJ","Miles","http://www.basketball-reference.com/players/m/milescj01/gamelog/2016"
"175","Jason Smith","Jason","Smith","http://www.basketball-reference.com/players/s/smithja02/gamelog/2016"
"176","Alexis Ajinca","Alexis","Ajinca","http://www.basketball-reference.com/players/a/ajincal01/gamelog/2016"
"177","Mario Chalmers","Mario","Chalmers","http://www.basketball-reference.com/players/c/chalmma01/gamelog/2016"
"178","Jared Dudley","Jared","Dudley","http://www.basketball-reference.com/players/d/dudleja01/gamelog/2016"
"179","Damian Lillard","Damian","Lillard","http://www.basketball-reference.com/players/l/lillada01/gamelog/2016"
"180","Cody Zeller","Cody","Zeller","http://www.basketball-reference.com/players/z/zelleco01/gamelog/2016"
