"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Stephen Curry",10700,"Pho@GS 10:30PM ET",53.550,"GS"
"PF","Anthony Davis",10600,"NO@Uta 09:00PM ET",47.512,"NO"
"PG","Russell Westbrook",10400,"Por@OKC 08:00PM ET",54.948,"OKC"
"SF","Kevin Durant",10200,"Por@OKC 08:00PM ET",48.958,"OKC"
"SF","Paul George",9700,"Dal@Ind 07:00PM ET",46.413,"Ind"
"PG","John Wall",9500,"Was@SA 08:30PM ET",42.870,"Was"
"PG","Damian Lillard",9200,"Por@OKC 08:00PM ET",42.827,"Por"
"C","Andre Drummond",9100,"Bos@Det 07:30PM ET",46.452,"Det"
"PF","Blake Griffin",9000,"Mil@LAC 10:30PM ET",44.700,"LAC"
"SF","Kawhi Leonard",8600,"Was@SA 08:30PM ET",40.813,"SA"
"PF","Draymond Green",8500,"Pho@GS 10:30PM ET",40.680,"GS"
"SG","Eric Bledsoe",8400,"Pho@GS 10:30PM ET",42.320,"Pho"
"SF","Carmelo Anthony",8000,"Min@NY 07:30PM ET",37.070,"NY"
"PF","Paul Millsap",8000,"Phi@Atl 08:00PM ET",40.808,"Atl"
"PG","Chris Paul",7900,"Mil@LAC 10:30PM ET",36.975,"LAC"
"C","Pau Gasol",7800,"Mem@Chi 08:00PM ET",38.307,"Chi"
"PG","Isaiah Thomas",7700,"Bos@Det 07:30PM ET",37.115,"Bos"
"SF","Nicolas Batum",7600,"Cha@Orl 07:00PM ET",35.793,"Cha"
"PF","Derrick Favors",7600,"NO@Uta 09:00PM ET",35.455,"Uta"
"SG","Jimmy Butler",7500,"Mem@Chi 08:00PM ET",37.136,"Chi"
"PG","Reggie Jackson",7500,"Bos@Det 07:30PM ET",36.490,"Det"
"PG","Brandon Knight",7500,"Pho@GS 10:30PM ET",37.913,"Pho"
"C","Marc Gasol",7400,"Mem@Chi 08:00PM ET",34.798,"Mem"
"SG","Tyreke Evans",7300,"NO@Uta 09:00PM ET",36.857,"NO"
"SF","Gordon Hayward",7300,"NO@Uta 09:00PM ET",31.489,"Uta"
"PF","Kristaps Porzingis",7300,"Min@NY 07:30PM ET",30.670,"NY"
"PF","Chris Bosh",7200,"Mia@Bkn 07:30PM ET",35.717,"Mia"
"C","Greg Monroe",7200,"Mil@LAC 10:30PM ET",36.120,"Mil"
"SG","Bradley Beal",7200,"Was@SA 08:30PM ET",33.029,"Was"
"C","Karl-Anthony Towns",7200,"Min@NY 07:30PM ET",33.402,"Min"
"PF","Thaddeus Young",7100,"Mia@Bkn 07:30PM ET",32.833,"Bkn"
"C","Brook Lopez",7100,"Mia@Bkn 07:30PM ET",36.063,"Bkn"
"C","DeAndre Jordan",7000,"Mil@LAC 10:30PM ET",35.490,"LAC"
"PG","Kemba Walker",7000,"Cha@Orl 07:00PM ET",34.989,"Cha"
"PG","Ricky Rubio",6900,"Min@NY 07:30PM ET",31.324,"Min"
"SG","C.J. McCollum",6900,"Por@OKC 08:00PM ET",32.904,"Por"
"SF","Giannis Antetokounmpo",6900,"Mil@LAC 10:30PM ET",31.719,"Mil"
"C","Jahlil Okafor",6900,"Phi@Atl 08:00PM ET",32.365,"Phi"
"SG","Dwyane Wade",6800,"Mia@Bkn 07:30PM ET",31.420,"Mia"
"C","Nikola Vucevic",6800,"Cha@Orl 07:00PM ET",33.631,"Orl"
"SF","Robert Covington",6800,"Phi@Atl 08:00PM ET",30.735,"Phi"
"SG","Andrew Wiggins",6800,"Min@NY 07:30PM ET",29.523,"Min"
"PF","Dirk Nowitzki",6700,"Dal@Ind 07:00PM ET",32.406,"Dal"
"PG","Deron Williams",6700,"Dal@Ind 07:00PM ET",31.163,"Dal"
"PF","LaMarcus Aldridge",6700,"Was@SA 08:30PM ET",31.083,"SA"
"SG","Klay Thompson",6600,"Pho@GS 10:30PM ET",29.370,"GS"
"C","Hassan Whiteside",6600,"Mia@Bkn 07:30PM ET",34.522,"Mia"
"C","Al Horford",6500,"Phi@Atl 08:00PM ET",33.327,"Atl"
"PG","Elfrid Payton",6400,"Cha@Orl 07:00PM ET",29.250,"Orl"
