"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Stephen Curry",10700,"Mil@GS 10:30PM ET",53.010,"GS"
"PF","Anthony Davis",10500,"NO@Pho 10:30PM ET",47.148,"NO"
"PF","DeMarcus Cousins",10200,"Sac@Min 08:00PM ET",47.118,"Sac"
"SF","Paul George",9400,"Bkn@Ind 07:00PM ET",45.969,"Ind"
"C","Andre Drummond",9100,"Det@Chi 08:00PM ET",46.120,"Det"
"PG","Damian Lillard",9000,"Por@Orl 07:00PM ET",42.509,"Por"
"PF","Blake Griffin",8900,"LAC@SA 08:00PM ET",44.308,"LAC"
"PF","Draymond Green",8800,"Mil@GS 10:30PM ET",41.471,"GS"
"PG","Rajon Rondo",8700,"Sac@Min 08:00PM ET",41.531,"Sac"
"SF","Kawhi Leonard",8600,"LAC@SA 08:00PM ET",41.030,"SA"
"PG","Kyle Lowry",8500,"Tor@Mia 08:00PM ET",42.606,"Tor"
"SG","Eric Bledsoe",8400,"NO@Pho 10:30PM ET",41.683,"Pho"
"SF","Carmelo Anthony",8300,"NY@Phi 07:00PM ET",37.808,"NY"
"PF","Paul Millsap",8000,"Atl@Bos 07:30PM ET",40.389,"Atl"
"PG","Chris Paul",7800,"LAC@SA 08:00PM ET",37.310,"LAC"
"PG","Isaiah Thomas",7700,"Atl@Bos 07:30PM ET",37.067,"Bos"
"PF","Derrick Favors",7700,"Den@Uta 09:00PM ET",35.750,"Uta"
"C","Pau Gasol",7600,"Det@Chi 08:00PM ET",38.163,"Chi"
"SG","Jimmy Butler",7500,"Det@Chi 08:00PM ET",37.217,"Chi"
"PG","Reggie Jackson",7500,"Det@Chi 08:00PM ET",36.194,"Det"
"C","Marc Gasol",7400,"Mem@Dal 08:30PM ET",34.463,"Mem"
"PG","Brandon Knight",7400,"NO@Pho 10:30PM ET",37.241,"Pho"
"PF","Kristaps Porzingis",7400,"NY@Phi 07:00PM ET",30.875,"NY"
"SG","Tyreke Evans",7300,"NO@Pho 10:30PM ET",35.563,"NO"
"SF","Gordon Hayward",7300,"Den@Uta 09:00PM ET",31.448,"Uta"
"SG","DeMar DeRozan",7200,"Tor@Mia 08:00PM ET",34.894,"Tor"
"C","Greg Monroe",7200,"Mil@GS 10:30PM ET",36.140,"Mil"
"PG","Ricky Rubio",7200,"Sac@Min 08:00PM ET",32.711,"Min"
"PF","Chris Bosh",7100,"Tor@Mia 08:00PM ET",34.990,"Mia"
"SF","Rudy Gay",7100,"Sac@Min 08:00PM ET",31.365,"Sac"
"SG","Klay Thompson",7000,"Mil@GS 10:30PM ET",30.448,"GS"
"C","Karl-Anthony Towns",7000,"Sac@Min 08:00PM ET",33.610,"Min"
"SG","Dwyane Wade",6900,"Tor@Mia 08:00PM ET",31.891,"Mia"
"PF","Thaddeus Young",6900,"Bkn@Ind 07:00PM ET",32.570,"Bkn"
"C","Brook Lopez",6900,"Bkn@Ind 07:00PM ET",35.920,"Bkn"
"C","DeAndre Jordan",6900,"LAC@SA 08:00PM ET",34.952,"LAC"
"SF","Danilo Gallinari",6800,"Den@Uta 09:00PM ET",32.250,"Den"
"C","Nikola Vucevic",6800,"Por@Orl 07:00PM ET",33.534,"Orl"
"SG","C.J. McCollum",6800,"Por@Orl 07:00PM ET",33.093,"Por"
"SF","Giannis Antetokounmpo",6700,"Mil@GS 10:30PM ET",31.135,"Mil"
"SG","Andrew Wiggins",6700,"Sac@Min 08:00PM ET",29.583,"Min"
"C","Jahlil Okafor",6700,"NY@Phi 07:00PM ET",32.160,"Phi"
"PF","LaMarcus Aldridge",6600,"LAC@SA 08:00PM ET",30.840,"SA"
"C","Hassan Whiteside",6600,"Tor@Mia 08:00PM ET",34.698,"Mia"
"SF","Robert Covington",6600,"NY@Phi 07:00PM ET",30.417,"Phi"
"PF","Dirk Nowitzki",6500,"Mem@Dal 08:30PM ET",32.120,"Dal"
"C","Al Horford",6500,"Atl@Bos 07:30PM ET",33.019,"Atl"
"PG","Deron Williams",6400,"Mem@Dal 08:30PM ET",30.552,"Dal"
"SG","Will Barton",6300,"Den@Uta 09:00PM ET",28.620,"Den"
"PG","Elfrid Payton",6300,"Por@Orl 07:00PM ET",29.290,"Orl"
"PG","Jarrett Jack",6200,"Bkn@Ind 07:00PM ET",30.917,"Bkn"
"PG","Jeff Teague",6200,"Atl@Bos 07:30PM ET",30.354,"Atl"
"C","Rudy Gobert",6200,"Den@Uta 09:00PM ET",31.536,"Uta"
"PF","Ryan Anderson",6100,"NO@Pho 10:30PM ET",30.739,"NO"
"PF","Kenneth Faried",6100,"Den@Uta 09:00PM ET",28.333,"Den"
"SG","Victor Oladipo",6100,"Por@Orl 07:00PM ET",30.228,"Orl"
"PG","Mike Conley",6000,"Mem@Dal 08:30PM ET",29.861,"Mem"
"PG","Derrick Rose",6000,"Det@Chi 08:00PM ET",26.524,"Chi"
"C","Jared Sullinger",6000,"Atl@Bos 07:30PM ET",29.048,"Bos"
"PF","Zach Randolph",5900,"Mem@Dal 08:30PM ET",27.750,"Mem"
"PF","Jon Leuer",5900,"NO@Pho 10:30PM ET",20.093,"Pho"
"SF","Omri Casspi",5900,"Sac@Min 08:00PM ET",24.240,"Sac"
"SF","Tobias Harris",5900,"Por@Orl 07:00PM ET",29.380,"Orl"
