Position,Name,teamAbbrev,NBAAbbrev
PG,Stephen Curry,GS,GSW
PF,Anthony Davis,NO,NOP
PG,Russell Westbrook,OKC,OKC
SF,Kevin Durant,OKC,OKC
SF,Paul George,Ind,IND
PG,John Wall,Was,WAS
PG,Damian Lillard,Por,POR
C,Andre Drummond,Det,DET
PF,Blake Griffin,LAC,LAC
SF,Kawhi Leonard,SA,SAS
PF,Draymond Green,GS,GSW
SG,Eric Bledsoe,Pho,PHO
SF,Carmelo Anthony,NY,NYK
PF,Paul Millsap,Atl,ATL
PG,Chris Paul,LAC,LAC
C,Pau Gasol,Chi,CHI
PG,Isaiah Thomas,Bos,BOS
SF,Nicolas Batum,Cha,CHA
PF,Derrick Favors,Uta,UTA
SG,Jimmy Butler,Chi,CHI
PG,Reggie Jackson,Det,DET
PG,Brandon Knight,Pho,PHO
C,Marc Gasol,Mem,MEM
SG,Tyreke Evans,NO,NOP
SF,Gordon Hayward,Uta,UTA
PF,Kristaps Porzingis,NY,NYK
PF,Chris Bosh,Mia,MIA
C,Greg Monroe,Mil,MIL
SG,Bradley Beal,Was,WAS
C,Karl-Anthony Towns,Min,MIN
PF,Thaddeus Young,Bkn,BKN
C,Brook Lopez,Bkn,BKN
C,DeAndre Jordan,LAC,LAC
PG,Kemba Walker,Cha,CHA
PG,Ricky Rubio,Min,MIN
SG,C.J. McCollum,Por,POR
SF,Giannis Antetokounmpo,Mil,MIL
C,Jahlil Okafor,Phi,PHI
SG,Dwyane Wade,Mia,MIA
C,Nikola Vucevic,Orl,ORL
SF,Robert Covington,Phi,PHI
SG,Andrew Wiggins,Min,MIN
PF,Dirk Nowitzki,Dal,DAL
PG,Deron Williams,Dal,DAL
PF,LaMarcus Aldridge,SA,SAS
SG,Klay Thompson,GS,GSW
C,Hassan Whiteside,Mia,MIA
C,Al Horford,Atl,ATL
PG,Elfrid Payton,Orl,ORL
PG,Jeff Teague,Atl,ATL
PG,Jarrett Jack,Bkn,BKN
C,Al Jefferson,Cha,CHA
C,Marcin Gortat,Was,WAS
PG,Mike Conley,Mem,MEM
PG,Derrick Rose,Chi,CHI
SG,Victor Oladipo,Orl,ORL
C,Rudy Gobert,Uta,UTA
PF,Ryan Anderson,NO,NOP
C,Jared Sullinger,Bos,BOS
